"type";"vocalizations";"dB_threshold";"sleep_type";"model";"model_type";"nobs";"nmales";"nvisits";"round_digits";"Intercept";"Estimate±SE";"z-value";"P-value"
"after";"both";-30;1;"comparisons";"zero-inflated poisson";90;27;45;2;"4.50";"-1.75±0.04";"-43.44";"<0.001"
"after";"both";-32;1;"comparisons";"zero-inflated poisson";90;27;45;2;"4.76";"-1.56±0.03";"-48.13";"<0.001"
"after";"both";-34;1;"comparisons";"zero-inflated poisson";90;27;45;2;"5.05";"-1.48±0.03";"-55.02";"<0.001"
"after";"both";-36;1;"comparisons";"zero-inflated poisson";90;27;45;2;"5.26";"-1.34±0.02";"-58.02";"<0.001"
"after";"both";-38;1;"comparisons";"zero-inflated poisson";90;27;45;2;"5.41";"-1.19±0.02";"-57.85";"<0.001"
"after";"both";-40;1;"comparisons";"zero-inflated poisson";90;27;45;2;"5.50";"-1.08±0.02";"-56.88";"<0.001"
"after";"both";-30;1;"comparisons";"poisson";74;26;44;2;"4.50";"-1.74±0.04";"-43.47";"<0.001"
"after";"both";-32;1;"comparisons";"poisson";79;26;44;2;"4.76";"-1.56±0.03";"-48.14";"<0.001"
"after";"both";-34;1;"comparisons";"poisson";83;26;44;2;"5.05";"-1.48±0.03";"-55.02";"<0.001"
"after";"both";-36;1;"comparisons";"poisson";84;26;44;2;"5.26";"-1.34±0.02";"-58.02";"<0.001"
"after";"both";-38;1;"comparisons";"poisson";84;26;44;2;"5.41";"-1.19±0.02";"-57.85";"<0.001"
"after";"both";-40;1;"comparisons";"poisson";84;26;44;2;"5.50";"-1.08±0.02";"-56.88";"<0.001"
"after";"both";-30;1;"comparisons";"binomial";90;27;45;2;"3.72";"-2.27±0.89";"-2.55";"0.01"
"after";"both";-32;1;"comparisons";"binomial";90;27;45;2;"29.01";"-16.06±7.25";"-2.22";"0.03"
"after";"both";-34;1;"comparisons";"binomial";90;27;45;2;"30.29";"-16.80±8.43";"-1.99";"0.05"
"after";"both";-36;1;"comparisons";"binomial";90;27;45;2;"34.70";"-19.11±12.13";"-1.58";"0.12"
"after";"both";-38;1;"comparisons";"binomial";90;27;45;2;"34.70";"-19.11±12.13";"-1.58";"0.12"
"after";"both";-40;1;"comparisons";"binomial";90;27;45;2;"34.70";"-19.11±12.13";"-1.58";"0.12"
"after";"both";-30;1;"comparisons";"gaussian";90;27;45;2;"3.87";"-3.66±0.53";"-6.87";"<0.001"
"after";"both";-32;1;"comparisons";"gaussian";90;27;45;2;"4.40";"-3.33±0.47";"-7.07";"<0.001"
"after";"both";-34;1;"comparisons";"gaussian";90;27;45;2;"4.79";"-2.69±0.39";"-6.80";"<0.001"
"after";"both";-36;1;"comparisons";"gaussian";90;27;45;2;"5.03";"-2.33±0.36";"-6.43";"<0.001"
"after";"both";-38;1;"comparisons";"gaussian";90;27;45;2;"5.19";"-2.16±0.36";"-5.93";"<0.001"
"after";"both";-40;1;"comparisons";"gaussian";90;27;45;2;"5.28";"-2.03±0.37";"-5.52";"<0.001"
"after";"calls";-30;1;"comparisons";"zero-inflated poisson";90;27;45;2;"2.15";"-1.09±0.09";"-11.48";"<0.001"
"after";"calls";-32;1;"comparisons";"zero-inflated poisson";90;27;45;2;"2.46";"-0.70±0.10";"-7.05";"<0.001"
"after";"calls";-34;1;"comparisons";"zero-inflated poisson";90;27;45;2;"2.98";"-0.68±0.06";"-11.06";"<0.001"
"after";"calls";-36;1;"comparisons";"zero-inflated poisson";90;27;45;2;"3.28";"-0.70±0.05";"-13.49";"<0.001"
"after";"calls";-38;1;"comparisons";"zero-inflated poisson";90;27;45;2;"3.35";"-0.53±0.05";"-11.44";"<0.001"
"after";"calls";-40;1;"comparisons";"zero-inflated poisson";90;27;45;2;"3.47";"-0.41±0.04";"-9.56";"<0.001"
"after";"calls";-30;1;"comparisons";"poisson";62;24;41;2;"2.43";"-1.02±0.09";"-11.02";"<0.001"
"after";"calls";-32;1;"comparisons";"poisson";67;25;43;2;"2.70";"-0.66±0.07";"-9.02";"<0.001"
"after";"calls";-34;1;"comparisons";"poisson";73;25;43;2;"3.01";"-0.67±0.06";"-10.96";"<0.001"
"after";"calls";-36;1;"comparisons";"poisson";78;25;43;2;"3.29";"-0.69±0.05";"-13.41";"<0.001"
"after";"calls";-38;1;"comparisons";"poisson";82;26;44;2;"3.35";"-0.53±0.05";"-11.40";"<0.001"
"after";"calls";-40;1;"comparisons";"poisson";82;26;44;2;"3.48";"-0.41±0.04";"-9.53";"<0.001"
"after";"calls";-30;1;"comparisons";"binomial";90;27;45;2;"2.92";"-3.01±0.89";"-3.39";"<0.001"
"after";"calls";-32;1;"comparisons";"binomial";90;27;45;2;"3.39";"-3.06±0.96";"-3.18";"0.001"
"after";"calls";-34;1;"comparisons";"binomial";90;27;45;2;"25.69";"-15.00±4.78";"-3.14";"0.002"
"after";"calls";-36;1;"comparisons";"binomial";90;27;45;2;"27.94";"-15.73±5.72";"-2.75";"0.006"
"after";"calls";-38;1;"comparisons";"binomial";90;27;45;2;"28.92";"-16.20±7.58";"-2.14";"0.03"
"after";"calls";-40;1;"comparisons";"binomial";90;27;45;2;"28.92";"-16.20±7.58";"-2.14";"0.03"
"after";"calls";-30;1;"comparisons";"gaussian";90;27;45;2;"1.45";"-3.19±0.50";"-6.44";"<0.001"
"after";"calls";-32;1;"comparisons";"gaussian";90;27;45;2;"2.03";"-3.13±0.51";"-6.17";"<0.001"
"after";"calls";-34;1;"comparisons";"gaussian";90;27;45;2;"2.43";"-2.73±0.46";"-5.87";"<0.001"
"after";"calls";-36;1;"comparisons";"gaussian";90;27;45;2;"2.78";"-2.15±0.42";"-5.12";"<0.001"
"after";"calls";-38;1;"comparisons";"gaussian";90;27;45;2;"3.08";"-1.79±0.40";"-4.47";"<0.001"
"after";"calls";-40;1;"comparisons";"gaussian";90;27;45;2;"3.21";"-1.67±0.41";"-4.08";"<0.001"
"after";"song";-30;1;"comparisons";"zero-inflated poisson";90;27;45;2;"4.25";"-1.74±0.05";"-38.43";"<0.001"
