"type";"vocalizations";"dB_threshold";"sleep_type";"model";"model_type";"nobs";"nmales";"nvisits";"round_digits";"Intercept";"Estimate±SE";"z-value";"P-value"
"o_in";"both";-30;0;"slope";"zero-inflated poisson";1535;35;107;3;"-0.342";"0.020±0.004";"5.409";"<0.001"
"o_in";"both";-32;0;"slope";"zero-inflated poisson";1535;35;107;3;"0.077";"0.016±0.003";"5.371";"<0.001"
"o_in";"both";-34;0;"slope";"zero-inflated poisson";1535;35;107;3;"0.449";"0.014±0.003";"5.202";"<0.001"
"o_in";"both";-36;0;"slope";"zero-inflated poisson";1535;35;107;3;"0.714";"0.013±0.002";"5.526";"<0.001"
"o_in";"both";-38;0;"slope";"zero-inflated poisson";1535;35;107;3;"0.722";"0.016±0.002";"7.027";"<0.001"
"o_in";"both";-40;0;"slope";"zero-inflated poisson";1535;35;107;3;"0.909";"0.013±0.002";"6.076";"<0.001"
"o_in";"both";-30;0;"slope";"poisson";368;25;68;3;"1.086";"0.014±0.003";"4.056";"<0.001"
"o_in";"both";-32;0;"slope";"poisson";470;26;74;3;"1.156";"0.013±0.003";"4.391";"<0.001"
"o_in";"both";-34;0;"slope";"poisson";565;28;80;3;"1.225";"0.012±0.003";"4.692";"<0.001"
"o_in";"both";-36;0;"slope";"poisson";651;29;83;3;"1.326";"0.012±0.002";"5.351";"<0.001"
"o_in";"both";-38;0;"slope";"poisson";728;30;88;3;"1.390";"0.014±0.002";"6.428";"<0.001"
"o_in";"both";-40;0;"slope";"poisson";806;30;92;3;"1.449";"0.013±0.002";"6.396";"<0.001"
"o_in";"both";-40;0;"slope";"poisson";806;30;92;3;"1.449";"0.013±0.002";"6.396";"<0.001"
"o_in";"both";-30;0;"slope";"binomial";1535;35;107;3;"-1.869";"0.021±0.009";"2.372";"0.02"
"o_in";"both";-32;0;"slope";"binomial";1535;35;107;3;"-1.399";"0.019±0.008";"2.293";"0.02"
"o_in";"both";-34;0;"slope";"binomial";1535;35;107;3;"-1.025";"0.018±0.008";"2.357";"0.02"
"o_in";"both";-36;0;"slope";"binomial";1535;35;107;3;"-0.759";"0.017±0.008";"2.226";"0.03"
"o_in";"both";-38;0;"slope";"binomial";1535;35;107;3;"-0.449";"0.012±0.008";"1.548";"0.12"
"o_in";"both";-40;0;"slope";"binomial";1535;35;107;3;"-0.193";"0.011±0.008";"1.470";"0.14"
"o_in";"both";-30;0;"slope";"gaussian";1535;35;107;3;"-3.412";"0.018±0.007";"2.465";"0.01"
"o_in";"both";-32;0;"slope";"gaussian";1535;35;107;3;"-3.088";"0.021±0.008";"2.585";"0.010"
"o_in";"both";-34;0;"slope";"gaussian";1535;35;107;3;"-2.770";"0.025±0.009";"2.866";"0.004"
"o_in";"both";-36;0;"slope";"gaussian";1535;35;107;3;"-2.441";"0.026±0.009";"2.927";"0.003"
"o_in";"both";-38;0;"slope";"gaussian";1535;35;107;3;"-2.089";"0.022±0.009";"2.455";"0.01"
"o_in";"both";-40;0;"slope";"gaussian";1535;35;107;3;"-1.785";"0.022±0.009";"2.467";"0.01"
"o_in";"calls";-30;0;"slope";"zero-inflated poisson";1535;35;107;3;"-1.064";"0.022±0.008";"2.832";"0.005"
"o_in";"calls";-32;0;"slope";"zero-inflated poisson";1535;35;107;3;"-0.560";"0.017±0.007";"2.467";"0.01"
"o_in";"calls";-34;0;"slope";"zero-inflated poisson";1535;35;107;3;"-0.145";"0.015±0.006";"2.470";"0.01"
"o_in";"calls";-36;0;"slope";"zero-inflated poisson";1535;35;107;3;"0.012";"0.015±0.005";"2.926";"0.003"
"o_in";"calls";-38;0;"slope";"zero-inflated poisson";1535;35;107;3;"0.169";"0.012±0.004";"2.693";"0.007"
"o_in";"calls";-40;0;"slope";"zero-inflated poisson";1535;35;107;3;"0.403";"0.007±0.004";"1.703";"0.09"
"o_in";"calls";-30;0;"slope";"poisson";200;22;55;3;"0.880";"0.009±0.007";"1.319";"0.19"
"o_in";"calls";-32;0;"slope";"poisson";254;25;62;3;"0.909";"0.010±0.006";"1.743";"0.08"
"o_in";"calls";-34;0;"slope";"poisson";311;27;69;3;"0.927";"0.012±0.005";"2.375";"0.02"
"o_in";"calls";-36;0;"slope";"poisson";361;28;73;3;"0.960";"0.012±0.004";"2.942";"0.003"
"o_in";"calls";-38;0;"slope";"poisson";417;29;79;3;"0.998";"0.011±0.004";"2.898";"0.004"
"o_in";"calls";-40;0;"slope";"poisson";456;29;80;3;"1.108";"0.007±0.004";"2.116";"0.03"
"o_in";"calls";-30;0;"slope";"binomial";1535;35;107;3;"-2.698";"0.017±0.011";"1.536";"0.12"
"o_in";"calls";-32;0;"slope";"binomial";1535;35;107;3;"-2.174";"0.008±0.010";"0.841";"0.40"
"o_in";"calls";-34;0;"slope";"binomial";1535;35;107;3;"-1.780";"0.005±0.009";"0.598";"0.55"
"o_in";"calls";-36;0;"slope";"binomial";1535;35;107;3;"-1.598";"0.007±0.009";"0.773";"0.44"
"o_in";"calls";-38;0;"slope";"binomial";1535;35;107;3;"-1.316";"0.005±0.008";"0.572";"0.57"
"o_in";"calls";-40;0;"slope";"binomial";1535;35;107;3;"-1.209";"0.006±0.008";"0.805";"0.42"
"o_in";"calls";-30;0;"slope";"gaussian";1535;35;107;3;"-3.924";"0.008±0.006";"1.421";"0.16"
"o_in";"calls";-32;0;"slope";"gaussian";1535;35;107;3;"-3.708";"0.006±0.006";"0.891";"0.37"
"o_in";"calls";-34;0;"slope";"gaussian";1535;35;107;3;"-3.489";"0.005±0.007";"0.722";"0.47"
"o_in";"calls";-36;0;"slope";"gaussian";1535;35;107;3;"-3.339";"0.007±0.007";"0.959";"0.34"
"o_in";"calls";-38;0;"slope";"gaussian";1535;35;107;3;"-3.111";"0.005±0.008";"0.696";"0.49"
"o_in";"calls";-40;0;"slope";"gaussian";1535;35;107;3;"-2.981";"0.007±0.008";"0.878";"0.38"
"o_in";"song";-30;0;"slope";"zero-inflated poisson";1535;35;107;3;"-1.389";"0.020±0.004";"4.440";"<0.001"
"o_in";"song";-32;0;"slope";"zero-inflated poisson";1535;35;107;3;"-0.829";"0.012± NaN";" NaN";
"o_in";"song";-34;0;"slope";"zero-inflated poisson";1535;35;107;3;"-0.628";"0.014±0.003";"4.011";"<0.001"
"o_in";"song";-36;0;"slope";"zero-inflated poisson";1535;35;107;3;"-0.257";"0.012±0.003";"3.920";"<0.001"
"o_in";"song";-38;0;"slope";"zero-inflated poisson";1535;35;107;3;"-0.072";"0.013±0.003";"4.851";"<0.001"
"o_in";"song";-40;0;"slope";"zero-inflated poisson";1535;35;107;3;"0.044";"0.015±0.003";"5.832";"<0.001"
"o_in";"song";-30;0;"slope";"poisson";213;21;55;3;"0.914";"0.014±0.004";"3.307";"<0.001"
"o_in";"song";-32;0;"slope";"poisson";272;21;59;3;"1.048";"0.011±0.004";"3.113";"0.002"
"o_in";"song";-34;0;"slope";"poisson";336;22;64;3;"1.177";"0.010±0.003";"3.231";"0.001"
"o_in";"song";-36;0;"slope";"poisson";402;25;68;3;"1.235";"0.011±0.003";"3.654";"<0.001"
"o_in";"song";-38;0;"slope";"poisson";455;25;73;3;"1.279";"0.013±0.003";"4.871";"<0.001"
"o_in";"song";-40;0;"slope";"poisson";526;26;81;3;"1.228";"0.015±0.003";"6.047";"<0.001"
"o_in";"song";-30;0;"slope";"binomial";1535;35;107;3;"-2.888";"0.019±0.010";"1.810";"0.07"
"o_in";"song";-32;0;"slope";"binomial";1535;35;107;3;"-2.545";"0.023±0.009";"2.418";"0.02"
"o_in";"song";-34;0;"slope";"binomial";1535;35;107;3;"-2.267";"0.023±0.009";"2.536";"0.01"
"o_in";"song";-36;0;"slope";"binomial";1535;35;107;3;"-1.860";"0.019±0.008";"2.224";"0.03"
"o_in";"song";-38;0;"slope";"binomial";1535;35;107;3;"-1.583";"0.012±0.008";"1.445";"0.15"
"o_in";"song";-40;0;"slope";"binomial";1535;35;107;3;"-1.219";"0.007±0.008";"0.910";"0.36"
"o_in";"song";-30;0;"slope";"gaussian";1535;35;107;3;"-3.961";"0.011±0.006";"1.846";"0.06"
"o_in";"song";-32;0;"slope";"gaussian";1535;35;107;3;"-3.830";"0.017±0.007";"2.467";"0.01"
