"type";"vocalizations";"dB_threshold";"sleep_type";"model";"model_type";"nobs";"nmales";"nvisits";"round_digits";"Intercept";"Estimate±SE";"z-value";"P-value"
"before";"both";-30;-1;"comparisons";"zero-inflated poisson";238;65;119;2;"-12.24";"-5.04±1.00";"-5.02";"<0.001"
"before";"both";-32;-1;"comparisons";"zero-inflated poisson";238;65;119;2;"-12.33";"-5.41±1.00";"-5.40";"<0.001"
"before";"both";-34;-1;"comparisons";"zero-inflated poisson";238;65;119;2;"-11.13";"-5.27±1.03";"-5.10";"<0.001"
"before";"both";-36;-1;"comparisons";"zero-inflated poisson";238;65;119;2;"-11.15";"-5.38±1.03";"-5.20";"<0.001"
"before";"both";-38;-1;"comparisons";"zero-inflated poisson";238;65;119;2;"-10.97";"-4.62±0.58";"-7.97";"<0.001"
"before";"both";-40;-1;"comparisons";"zero-inflated poisson";238;65;119;2;"-10.05";"-4.69±0.58";"-8.08";"<0.001"
"before";"both";-30;-1;"comparisons";"poisson";3;1;2;2;"4.34";"-4.25±1.01";"-4.21";"<0.001"
"before";"both";-30;-1;"comparisons";"poisson";3;1;2;2;"4.34";"-4.25±1.01";"-4.21";"<0.001"
"before";"both";-32;-1;"comparisons";"poisson";3;1;2;2;"4.71";"-4.68±1.01";"-4.65";"<0.001"
"before";"both";-32;-1;"comparisons";"poisson";3;1;2;2;"4.71";"-4.68±1.01";"-4.65";"<0.001"
"before";"both";-34;-1;"comparisons";"poisson";4;2;3;2;"4.86";"-4.86±0.71";"-6.84";"<0.001"
"before";"both";-34;-1;"comparisons";"poisson";4;2;3;2;"4.86";"-4.86±0.71";"-6.84";"<0.001"
"before";"both";-36;-1;"comparisons";"poisson";4;2;3;2;"4.96";"-4.96±0.71";"-6.98";"<0.001"
"before";"both";-38;-1;"comparisons";"poisson";6;2;3;2;"2.86";"-4.62±0.58";"-7.97";"<0.001"
"before";"both";-40;-1;"comparisons";"poisson";7;3;4;2;"2.36";"-4.67±0.58";"-8.04";"<0.001"
"before";"both";-30;-1;"comparisons";"binomial";238;65;119;2;"-19.05";"-27.47±20.72";"-1.33";"0.18"
"before";"both";-32;-1;"comparisons";"binomial";238;65;119;2;"-19.05";"-27.47±20.72";"-1.33";"0.18"
"before";"both";-34;-1;"comparisons";"binomial";238;65;119;2;"-11.16";"0.00±2.08";"0.00";"1.00"
"before";"both";-36;-1;"comparisons";"binomial";238;65;119;2;"-11.16";"0.00±2.08";"0.00";"1.00"
"before";"both";-38;-1;"comparisons";"binomial";238;65;119;2;"-16.50";"0.00±6.60";"0.00";"1.00"
"before";"both";-40;-1;"comparisons";"binomial";238;65;119;2;"-14.84";"-10.53±8.30";"-1.27";"0.20"
"before";"both";-30;-1;"comparisons";"gaussian";238;65;119;2;"-4.46";"-0.11±0.07";"-1.56";"0.12"
