"type";"vocalizations";"dB_threshold";"sleep_type";"model";"model_type";"nobs";"nmales";"nvisits";"round_digits";"Intercept";"Estimate±SE";"z-value";"P-value"
"after";"both";-30;1;"comparisons";"zero-inflated poisson";90;27;45;2;"4.50";"-1.75±0.04";"-43.44";"<0.001"
"after";"both";-32;1;"comparisons";"zero-inflated poisson";90;27;45;2;"4.76";"-1.56±0.03";"-48.13";"<0.001"
"after";"both";-34;1;"comparisons";"zero-inflated poisson";90;27;45;2;"5.05";"-1.48±0.03";"-55.02";"<0.001"
"after";"both";-36;1;"comparisons";"zero-inflated poisson";90;27;45;2;"5.26";"-1.34±0.02";"-58.02";"<0.001"
"after";"both";-38;1;"comparisons";"zero-inflated poisson";90;27;45;2;"5.41";"-1.19±0.02";"-57.85";"<0.001"
"after";"both";-40;1;"comparisons";"zero-inflated poisson";90;27;45;2;"5.50";"-1.08±0.02";"-56.88";"<0.001"
"after";"calls";-30;1;"comparisons";"zero-inflated poisson";90;27;45;2;"2.15";"-1.09±0.09";"-11.48";"<0.001"
"after";"calls";-32;1;"comparisons";"zero-inflated poisson";90;27;45;2;"2.46";"-0.70±0.10";"-7.05";"<0.001"
"after";"calls";-34;1;"comparisons";"zero-inflated poisson";90;27;45;2;"2.98";"-0.68±0.06";"-11.06";"<0.001"
"after";"calls";-36;1;"comparisons";"zero-inflated poisson";90;27;45;2;"3.28";"-0.70±0.05";"-13.49";"<0.001"
"after";"calls";-38;1;"comparisons";"zero-inflated poisson";90;27;45;2;"3.35";"-0.53±0.05";"-11.44";"<0.001"
"after";"calls";-40;1;"comparisons";"zero-inflated poisson";90;27;45;2;"3.47";"-0.41±0.04";"-9.56";"<0.001"
"after";"song";-30;1;"comparisons";"zero-inflated poisson";90;27;45;2;"4.25";"-1.74±0.05";"-38.43";"<0.001"
"after";"song";-32;1;"comparisons";"zero-inflated poisson";90;27;45;2;"4.50";"-1.66±0.04";"-44.88";"<0.001"
"after";"song";-34;1;"comparisons";"zero-inflated poisson";90;27;45;2;"4.84";"-1.59±0.03";"-52.01";"<0.001"
"after";"song";-36;1;"comparisons";"zero-inflated poisson";90;27;45;2;"5.06";"-1.45±0.03";"-55.32";"<0.001"
"after";"song";-38;1;"comparisons";"zero-inflated poisson";90;27;45;2;"5.24";"-1.30±0.02";"-56.10";"<0.001"
"after";"song";-40;1;"comparisons";"zero-inflated poisson";90;27;45;2;"5.34";"-1.21±0.02";"-55.90";"<0.001"
