"type";"vocalizations";"dB_threshold";"sleep_type";"model";"model_type";"nobs";"nmales";"nvisits";"round_digits";"Intercept";"Estimate±SE";"z-value";"P-value"
"before";"both";-30;0;"comparisons";"zero-inflated poisson";165;29;55;2;"0.82";"-0.31±0.07";"-4.08";"<0.001"
"before";"both";-32;0;"comparisons";"zero-inflated poisson";165;29;55;2;"1.23";"-0.32±0.06";"-4.96";"<0.001"
"before";"both";-34;0;"comparisons";"zero-inflated poisson";165;29;55;2;"1.60";"-0.39±0.05";"-7.22";"<0.001"
"before";"calls";-30;0;"comparisons";"zero-inflated poisson";165;29;55;2;"-0.48";"-0.25±0.12";"-2.17";"0.03"
"before";"calls";-32;0;"comparisons";"zero-inflated poisson";165;29;55;2;"0.11";"-0.32±0.10";"-3.10";"0.002"
"before";"calls";-34;0;"comparisons";"zero-inflated poisson";165;29;55;2;"0.40";"-0.43±0.08";"-5.17";"<0.001"
"before";"calls";-36;0;"comparisons";"zero-inflated poisson";165;29;55;2;"0.57";"-0.28±0.08";"-3.73";"<0.001"
"before";"song";-30;0;"comparisons";"zero-inflated poisson";165;29;55;2;"-0.18";"-0.21±0.10";"-2.05";"0.04"
"before";"song";-32;0;"comparisons";"zero-inflated poisson";165;29;55;2;"0.23";"-0.21±0.09";"-2.47";"0.01"
"before";"song";-34;0;"comparisons";"zero-inflated poisson";165;29;55;2;"0.59";"-0.26±0.07";"-3.52";"<0.001"
"before";"song";-36;0;"comparisons";"zero-inflated poisson";165;29;55;2;"1.05";"-0.25±0.06";"-3.84";"<0.001"
