"box","ID","transp","in_","out_","in_duration","out_duration","in_r_pk","out_r_pk","direction_detail","direction","type","time_inside_min","sex","IDmale","firstEgg","date_","rel_day","sleep","start","end","counter","sound_data","channel"
"1",4,"B4P9810","4980000000008001",2019-04-26 20:13:10,2019-04-27 06:27:59,1.804,1.334,6620034,6620054,"O/i|I/O","IN-OUT","v2",614.838900001844,2,"B4H0929",2019-04-24,2019-04-27,3,1,2019-04-27 05:58:00,2019-04-27 06:58:00,144,1,"1"
"2",4,"B4P9810","4980000000008001",2019-04-27 06:34:13,2019-04-27 06:36:12,0.793,3.291,6620059,6620168,"O/i|I/o","IN-OUT","v2",2.03818333148956,2,"B4H0929",2019-04-24,2019-04-27,3,0,2019-04-27 06:32:10,2019-04-27 06:38:17,145,1,"1"
"3",7,"B4H0471","438213A801AF0001",2019-04-05 19:37:10,2019-04-06 06:41:31,0.79,0.692,3011511,3011516,"O/i|I/O","IN-OUT","v2",664.361533331871,2,"B4H0940",2019-04-10,2019-04-06,-4,1,2019-04-06 06:11:31,2019-04-06 07:11:31,22,1,"1"
"4",7,"B4H0471","438213A801AF0001",2019-04-06 08:49:57,2019-04-06 08:53:15,0.484,4.438,3011639,3011653,"?/i|I/I","IN-OUT","v2",3.37396666606267,2,"B4H0940",2019-04-10,2019-04-06,-4,0,2019-04-06 08:46:34,2019-04-06 08:56:41,23,1,"1"
"5",7,"B4H0471","438213A801AF0001",2019-04-06 17:28:38,2019-04-06 17:50:52,0.635,1.012,3012128,3012144,"O/I|I/I","IN-OUT","v2",22.2502000013987,2,"B4H0940",2019-04-10,2019-04-06,-4,0,2019-04-06 17:06:22,2019-04-06 18:13:08,24,1,"1"
"6",7,"B4H0471","438213A801AF0001",2019-04-07 19:39:00,2019-04-08 06:40:40,0.48,0.631,3012985,3013028,"O/i|I/o","IN-OUT","v2",661.677183334033,2,"B4H0940",2019-04-10,2019-04-08,-2,1,2019-04-08 06:10:40,2019-04-08 07:10:40,25,1,"1"
"7",7,"B4H0471","438213A801AF0001",2019-04-08 10:33:15,2019-04-08 11:11:51,0.846,2.176,3013476,3013682,"O/i|I/o","IN-OUT","v2",38.6362666686376,2,"B4H0940",2019-04-10,2019-04-08,-2,0,2019-04-08 09:54:36,2019-04-08 11:50:31,26,1,"1"
"8",7,"B4H0471","438213A801AF0001",2019-04-08 19:39:34,2019-04-09 06:44:55,0.533,1.014,3013903,3013908,"O/I|I/o","IN-OUT","v2",665.366899998983,2,"B4H0940",2019-04-10,2019-04-09,-1,1,2019-04-09 06:14:56,2019-04-09 07:14:56,27,1,"1"
"9",7,"B4H0471","438213A801AF0001",2019-04-09 09:19:30,2019-04-09 09:27:51,8.258,2.831,3013935,3013972,"O/I|I/o","IN-OUT","v2",8.39718333482742,2,"B4H0940",2019-04-10,2019-04-09,-1,0,2019-04-09 09:11:06,2019-04-09 09:36:17,28,1,"1"
"10",18,"B4P9324","4C20000000008001",2019-04-11 19:24:03,2019-04-12 06:52:33,2.72,4.312,763301,763306,"O/I|I/o","IN-OUT","v2",688.571866667271,2,"B4H0234",2019-04-12,2019-04-12,0,1,2019-04-12 06:22:37,2019-04-12 07:22:37,94,1,"1"
"11",18,"B4P9324","4C20000000008001",2019-04-12 07:28:32,2019-04-12 07:51:21,13.777,3.089,763311,763336,"O/I|I/O","IN-OUT","v2",22.8681499997775,2,"B4H0234",2019-04-12,2019-04-12,0,0,2019-04-12 07:05:39,2019-04-12 08:14:16,95,1,"1"
"12",21,"B4P9561","FCD0000000008001",2019-04-10 19:49:01,2019-04-11 07:02:00,5.102,0.387,22433840,22433884,"O/i|I/I","IN-OUT","v2",672.989783334732,2,"B4H0229",2019-04-11,2019-04-11,0,1,2019-04-11 06:32:00,2019-04-11 07:32:00,121,1,"0"
"13",21,"B4P9561","FCD0000000008001",2019-04-11 08:31:52,2019-04-11 08:40:42,4.881,1.997,22433897,22434012,"O/I|I/o","IN-OUT","v2",8.86661666631699,2,"B4H0229",2019-04-11,2019-04-11,0,0,2019-04-11 08:23:00,2019-04-11 08:49:35,122,1,"0"
"14",21,"B4P9561","FCD0000000008001",2019-04-12 19:47:36,2019-04-13 06:26:57,2.131,3.713,22435300,22435393,"O/I|I/o","IN-OUT","v2",639.411883334319,2,"B4H0229",2019-04-11,2019-04-13,2,1,2019-04-13 05:57:00,2019-04-13 06:57:00,123,1,"0"
"15",21,"B4P9561","FCD0000000008001",2019-04-13 06:45:45,2019-04-13 07:09:52,3.101,2.532,22435404,22435459,"O/i|I/o","IN-OUT","v2",24.1588666677475,2,"B4H0229",2019-04-11,2019-04-13,2,0,2019-04-13 06:21:35,2019-04-13 07:34:04,124,1,"0"
"16",24,"B4H0230","E42213A801AF0001",2019-04-12 19:11:48,2019-04-13 07:00:26,2.139,4.348,2172233,2172320,"O/I|I/o","IN-OUT","v2",708.705800000827,2,"B4H1776",2019-04-12,2019-04-13,1,1,2019-04-13 06:30:30,2019-04-13 07:30:30,14,1,"1"
"17",24,"B4H0230","E42213A801AF0001",2019-04-13 07:33:16,2019-04-13 07:59:20,1.291,1.75,2172331,2172340,"O/I|I/o","IN-OUT","v2",26.0958333333333,2,"B4H1776",2019-04-12,2019-04-13,1,0,2019-04-13 07:07:10,2019-04-13 08:25:27,15,1,"1"
"18",32,"B4X1869","4BD0000000008001",2019-04-18 19:58:08,2019-04-19 06:32:12,0.747,3.592,516967,517075,"O/I|I/I","IN-OUT","v2",634.126533333461,2,"B4P9127",2019-04-15,2019-04-19,4,1,2019-04-19 06:02:15,2019-04-19 07:02:15,377,1,"1"
"19",32,"B4X1869","4BD0000000008001",2019-04-19 14:48:33,2019-04-19 14:53:23,1.54,4.688,517799,517841,"O/I|I/O","IN-OUT","v2",4.91146666606267,2,"B4P9127",2019-04-15,2019-04-19,4,0,2019-04-19 14:43:38,2019-04-19 14:58:22,378,1,"1"
"20",56,"B4X1150","6F20000000008001",2019-04-05 19:07:43,2019-04-06 06:42:41,1.648,6.266,5338589,5338598,"O/I|I/o","IN-OUT","v2",695.07110000054,2,"B4P9367",2019-04-08,2019-04-06,-2,1,2019-04-06 06:12:47,2019-04-06 07:12:47,224,1,"0"
"21",56,"B4X1150","6F20000000008001",2019-04-06 11:39:35,2019-04-06 11:44:23,1.265,0.899,5338845,5338868,"O/I|I/o","IN-OUT","v2",4.81498333215714,2,"B4P9367",2019-04-08,2019-04-06,-2,0,2019-04-06 11:34:46,2019-04-06 11:49:12,225,1,"0"
"22",60,"B4P8661","1D80000000008001",2019-04-16 19:43:17,2019-04-17 06:42:34,1.292,2.42,619837,619851,"O/I|I/O","IN-OUT","v2",659.323666667938,2,"B4P9497",2019-04-12,2019-04-17,5,1,2019-04-17 06:12:36,2019-04-17 07:12:36,71,1,"1"
"23",60,"B4P8661","1D80000000008001",2019-04-17 08:59:53,2019-04-17 09:08:23,0.911,0.849,619923,619980,"O/I|I/o","IN-OUT","v2",8.51414999961853,2,"B4P9497",2019-04-12,2019-04-17,5,0,2019-04-17 08:51:22,2019-04-17 09:16:54,72,1,"1"
"24",67,"B4H0379","ED2213A801AF0001",2019-04-07 19:42:51,2019-04-08 06:23:15,0.64,3.166,4362262,4362269,"O/I|I/I","IN-OUT","v2",640.452766664823,2,"B4P9915",2019-04-11,2019-04-08,-3,1,2019-04-08 05:53:18,2019-04-08 06:53:18,16,1,"1"
"25",67,"B4H0379","ED2213A801AF0001",2019-04-08 11:20:52,2019-04-08 11:23:27,0.631,1.216,4362551,4362570,"O/I|I/O","IN-OUT","v2",2.60360000133514,2,"B4P9915",2019-04-11,2019-04-08,-3,0,2019-04-08 11:18:15,2019-04-08 11:26:04,17,1,"1"
"26",67,"B4H0379","ED2213A801AF0001",2019-04-14 19:28:47,2019-04-15 06:49:58,0.691,3.628,4364102,4364107,"O/I|I/o","IN-OUT","v2",681.24380000035,2,"B4P9915",2019-04-11,2019-04-15,4,1,2019-04-15 06:20:01,2019-04-15 07:20:01,20,1,"1"
"27",67,"B4H0379","ED2213A801AF0001",2019-04-15 10:39:29,2019-04-15 11:18:49,0.747,4.933,4364314,4364338,"?/I|I/o","IN-OUT","v2",39.4155500014623,2,"B4P9915",2019-04-11,2019-04-15,4,0,2019-04-15 10:00:04,2019-04-15 11:58:18,21,1,"1"
"28",70,"B4X1538","3860000000008001",2019-04-06 19:52:50,2019-04-07 06:36:23,2.486,3.691,502940,502950,"?/I|I/?","IN-OUT","v2",643.611516666412,2,"B4P9246",2019-04-11,2019-04-07,-4,1,2019-04-07 06:06:26,2019-04-07 07:06:26,251,1,"1"
