"box","ID","time_inside_min","in_","out_","out_duration","sleep","counter","direction_reliable","overlap","rel_day","start","end","type","DB","no_song","no_calls","noYN","noCallsYN","N","f_type","no_vocs","noVocsYN","f_noYN","no_mins_song","no_mins_calls","no_mins_vocs","song_per_time","calls_per_time","vocs_per_time","date_","hour_of_out"
"1",4,"B4P9810",607.188983333111,2019-04-25 20:13:57,2019-04-26 06:21:04,4.339,-1,1056,1,1,1,2019-04-25 19:59:00,2019-04-25 20:27:59,"before",-30,0,0,0,0,14,"before",0,0,"0",0,0,0,0,0,0,2019-04-26,6
"2",4,"B4P9810",607.188983333111,2019-04-25 20:13:57,2019-04-26 06:21:04,4.339,-1,1056,1,1,1,2019-04-25 19:59:00,2019-04-25 20:27:59,NA,-30,0,0,0,0,1,NA,0,0,"0",0,0,0,0,0,0,2019-04-26,6
"3",4,"B4P9810",607.188983333111,2019-04-25 20:13:57,2019-04-26 06:21:04,4.339,-1,1056,1,1,1,2019-04-25 19:59:00,2019-04-25 20:27:59,"during",-30,0,0,0,0,14,"during",0,0,"0",0,0,0,0,0,0,2019-04-26,6
"4",4,"B4P9810",614.838900001844,2019-04-26 20:13:10,2019-04-27 06:27:59,1.334,1,144,1,-1,3,2019-04-27 05:58:00,2019-04-27 06:57:59,"during",-30,3,0,1,0,30,"during",3,1,"1",2,0,2,0.1,0,0.1,2019-04-27,6
"5",4,"B4P9810",614.838900001844,2019-04-26 20:13:10,2019-04-27 06:27:59,1.334,1,144,1,-1,3,2019-04-27 05:58:00,2019-04-27 06:57:59,NA,-30,0,0,0,0,1,NA,0,0,"0",0,0,0,0,0,0,2019-04-27,6
"6",4,"B4P9810",614.838900001844,2019-04-26 20:13:10,2019-04-27 06:27:59,1.334,1,144,1,-1,3,2019-04-27 05:58:00,2019-04-27 06:57:59,"after",-30,16,0,1,0,29,"after",16,1,"1",6,0,6,0.533333333333333,0,0.533333333333333,2019-04-27,6
"7",4,"B4P9810",2.03818333148956,2019-04-27 06:34:13,2019-04-27 06:36:12,3.291,0,145,1,-1,3,2019-04-27 06:33:00,2019-04-27 06:37:59,"before",-30,0,0,0,0,1,"before",0,0,"0",0,0,0,0,0,0,2019-04-27,6
"8",4,"B4P9810",2.03818333148956,2019-04-27 06:34:13,2019-04-27 06:36:12,3.291,0,145,1,-1,3,2019-04-27 06:33:00,2019-04-27 06:37:59,NA,-30,0,0,0,0,2,NA,0,0,"0",0,0,0,0,0,0,2019-04-27,6
"9",4,"B4P9810",2.03818333148956,2019-04-27 06:34:13,2019-04-27 06:36:12,3.291,0,145,1,-1,3,2019-04-27 06:33:00,2019-04-27 06:37:59,"during",-30,0,0,0,0,1,"during",0,0,"0",0,0,0,0,0,0,2019-04-27,6
"10",4,"B4P9810",2.03818333148956,2019-04-27 06:34:13,2019-04-27 06:36:12,3.291,0,145,1,-1,3,2019-04-27 06:33:00,2019-04-27 06:37:59,"after",-30,0,0,0,0,1,"after",0,0,"0",0,0,0,0,0,0,2019-04-27,6
"11",7,"B4H0471",664.361533331871,2019-04-05 19:37:10,2019-04-06 06:41:31,0.692,1,22,1,1,-4,2019-04-06 06:12:00,2019-04-06 07:10:59,"during",-30,24,1,1,1,29,"during",25,1,"1",7,1,7,0.8,0.0333333333333333,0.833333333333333,2019-04-06,6
"12",7,"B4H0471",664.361533331871,2019-04-05 19:37:10,2019-04-06 06:41:31,0.692,1,22,1,1,-4,2019-04-06 06:12:00,2019-04-06 07:10:59,NA,-30,0,0,0,0,1,NA,0,0,"0",0,0,0,0,0,0,2019-04-06,6
"13",7,"B4H0471",664.361533331871,2019-04-05 19:37:10,2019-04-06 06:41:31,0.692,1,22,1,1,-4,2019-04-06 06:12:00,2019-04-06 07:10:59,"after",-30,8,0,1,0,29,"after",8,1,"1",3,0,3,0.266666666666667,0,0.266666666666667,2019-04-06,6
